text,food,music,sports
"""Cricket with its origins in England has become a beloved sport in many countries celebrated for its complex rules and long-duration matches.""",0,0,1
"""The rise of esports has transformed video gaming into a competitive sport attracting a new generation of athletes and fans.""",0,0,1
"""Swimming competitions highlight the grace and power of athletes as they slice through water striving for speed and precision.""",0,0,1
"""Rugby known for its physical intensity and strategic gameplay fosters a strong sense of teamwork and respect among players.""",0,0,1
"""The discipline of gymnastics combines strength flexibility and artistry pushing athletes to achieve near-perfect execution in their routines.""",0,0,1
"""Boxing one of the oldest sports demands not only physical strength but also agility technique and mental fortitude from its competitors.""",0,0,1
"""The Tour de France the most prestigious cycling race challenges riders with grueling stages through mountains valleys and everything in between.""",0,0,1
"""Ice hockey played on a rink with skates and sticks is celebrated for its speed skill and the thrilling intensity of its games.""",0,0,1
"""Golf a sport of precision and calm offers players a meditative experience amidst the beauty of meticulously designed courses.""",0,0,1
"""Volleyball whether played on the beach or indoors requires teamwork communication and quick reflexes making it a favorite among recreational and professional athletes.""",0,0,1
"""The practice of yoga though often not seen as a competitive sport enhances physical flexibility and mental peace contributing to overall well-being.""",0,0,1
"""Skiing and snowboarding offer exhilarating experiences on snow-covered slopes combining the thrill of speed with the challenge of control and balance.""",0,0,1
"""Track and field events from sprints to long-distance runs and javelin throws test the limits of human speed endurance and strength.""",0,0,1
"""Mixed martial arts (MMA) has gained popularity for its combination of techniques from various combat sports showcasing versatility and resilience.""",0,0,1
"""The sportsmanship displayed by athletes valuing fairness respect and integrity teaches invaluable lessons that extend far beyond the playing field.""",0,0,1
